etapa,carater,codigo_interno,denominacao,carga_horaria,departamento,lista_pre_requisitos,tipo_atividade_ensino,sumula,observacao
1,Obrigatória,INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,90,INA,,Disciplina,"Definição e solução de problemas, desenvolvimento de algoritmos e pensamento computacional. Fundamentos de programação imperativa: variáveis, tipos de dados, operadores, entrada e saída. Introdução a ambientes de programação e ao uso de ferramentas de desenvolvimento. Técnicas de depuração. Estruturas de controle de fluxo: sequência, seleção e iteração. Estruturas de dados básicas: arranjos, strings, matrizes e registros (tipos definidos pelo usuário). Geração e uso de números pseudo aleatórios. Princípios da programação estruturada: subprogramas, funções, ponteiros, passagem de parâmetros por valor e referência. Compilação e execução de programas na linha de comando. Boas práticas de programação. Modularização de programas em múltiplos arquivos. Manipulação básica de arquivos: arquivos binários e texto. Funções recursivas.",
1,Obrigatória,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,90,MAT,,Disciplina,Estudo da reta e de curvas planas. Cálculo diferencial de uma variável real. Cálculo integral das funções de uma variável real.,
1,Obrigatória,FIS01181,FÍSICA I-C,90,FIS,,Disciplina,"Medidas físicas. Cinemática, estática e dinâmica do ponto e do corpo rígido. Gravitação.",
1,Obrigatória,ECP99002,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,30,COMGRAD-ECP,,Disciplina,A Engenharia de Computação na atualidade. O curso de Engenharia de Computação na UFRGS.,
1,Obrigatória,INF05508,LÓGICA PARA COMPUTAÇÃO,60,INT,,Disciplina,"Histórico da Lógica. Lógica Proposicional (sintaxe e semântica). Lógica de Predicados (sintaxe e semântica). Sistemas Dedutivos (dedução natural, árvores de refutação, consistência e completude). Aplicações de Lógica em Computação.",
2,Obrigatória,MAT01355,ÁLGEBRA LINEAR I - A,60,MAT,"[""MAT01353""]",Disciplina,Sistema de equações lineares. Matrizes. Fatoração LU. Vetores. Espaços vetoriais. Ortogonalidade. Valores próprios. Aplicações.,
2,Obrigatória,Arq,Arquitetura de Computadores,60,INA,"[""INF01202"", ""ECP99002""]",Disciplina,"Representação de dados: sistemas de numeração, aritmética binária e decimal, representação de caracteres. Noções básicas de arquitetura de computadores: organização básica da UCP; conjunto, formato, modos de endereçamento e armazenamento de instruções. Programação em linguagem de máquina e linguagem simbólica. Sub-rotinas: tipos, características e passagem de parâmetros. Interrupções e rotinas de tratamento.",
2,Obrigatória,MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,90,MAT,"[""MAT01353""]",Disciplina,Geometria analítica espacial. Derivadas parciais. Integrais múltiplas. Séries.,
2,Obrigatória,INF01203,Estruturas de Dados,60,INA,"[""INF01202""]",Disciplina,"Tipos abstratos de dados. Alocação dinâmica de memória. Listas, Pilhas e Filas. Algoritmos de ordenação. Árvores (Binárias, Balanceadas e de Busca), Strings. Hash. Estruturas de indexação e compressão.",
2,Obrigatória,FIS01182,FÍSICA GERAL - ELETROMAGNETISMO,90,FIS,"[""FIS01181"", ""MAT01353""]",Disciplina,Eletrostática. Eletrodinâmica. Magnetismo. Eletromagnetismo.,
2,Obrigatória,MAT01375,MATEMÁTICA DISCRETA B,60,MAT,,Disciplina,"Conjuntos, Relações e Funções. Indução Matemática. Teoria dos Números. Análise Combinatória. Recorrências.",
3,Obrigatória,INF01120,Desenvolvimento de Software,60,INA,"[""INF01203""]",Disciplina,"Projeto de Software: Fundamentos de design, arquitetura, padrões e introdução à linguagem de modelagem unificada (UML). Construção de Software: Boas práticas de codificação, frameworks, desenvolvimento guiado por testes (TDD), integração contínua e programação orientada a objetos (OOP). Qualidade e Testes: Métricas, code smells, testes unitários/integração/sistema/aceitação. Refatoração e Depuração: Técnicas de melhoria de código e resolução de defeitos. Manutenção e Ferramentas: Gestão de mudanças, versionamento e ambientes de desenvolvimento. Trabalho em Equipe: Colaboração e comunicação em projetos de grupo.",
3,Obrigatória,MAT01167,EQUAÇÕES DIFERENCIAIS II,90,MAT,"[""MAT01354"", ""MAT01355""]",Disciplina,"Equações diferenciais ordinárias e lineares. Elementos de séries de Fourier, polinômios de Legendre e funções de Bessel. Equações diferenciais lineares a derivadas parciais (problemas de contorno: equações da Física Clássica).",
3,Obrigatória,FIS01183,FÍSICA III-C,90,FIS,"[""FIS01182""]",Disciplina,Temperatura. Calor. Teoria cinética dos gases. Termodinâmica. Física ondulatória: ondas mecânicas e eletro-magnéticas. Reflexão e refração.,
3,Obrigatória,CDNovo,Projeto de Circuitos Digitais,90,INA,"[""Arq""]",Disciplina,"Representações de funções lógicas para uso em projeto de circuitos digitais. Portas lógicas CMOS. Síntese lógica de dois níveis, mapa de Karnaugh e algoritmo de Quine-McCluskey. Componentes de lógica programável. Blocos lógicos funcionais, multiplexadores, decodificadores. Circuitos aritméticos binários. Circuitos sequenciais e registradores. Máquinas de estados finitos. Linguagens de descrição de hardware: blocos lógicos funcionais, multiplexadores, decodificadores, circuitos aritméticos binários, circuitos sequenciais, máquinas de estados finitos e testbench. Projeto em nível de transferência de registradores.",
3,Obrigatória,PAA1,Projeto e Análise de Algoritmos I,60,INT,"[""MAT01353"", ""INF01203"", ""MAT01375""]",Disciplina,Análise e corretude de algoritmos. Notação assintótica. Teoria dos Grafos. Projeto e implementação de algoritmos: Grafos e Algoritmos Gulosos. Estruturas de dados para algoritmos gulosos.,
4,Obrigatória,ENG10001,CIRCUITOS ELÉTRICOS I - C,60,ENG,"[""FIS01182"", ""MAT01167""]",Disciplina,Análise de circuitos resistivos. Quadripolos resistivos. Análise de circuitos de primeira e segunda ordem de domínio do tempo.,
4,Obrigatória,MAT01168,MATEMÁTICA APLICADA II,90,MAT,"[""MAT01167""]",Disciplina,Séries de Fourier. Integral de Fourier. Transformadas de Fourier e de Laplace. Análise vetorial.,
4,Alternativa,MAT02219,PROBABILIDADE E ESTATÍSTICA,60,MAT,"[""MAT01353""]",Disciplina,Probabilidade: Conceito e teoremas fundamentais. Variáveis aleatórias. Distribuições de probabilidade. Estatística descritiva. Noções de amostragem. Inferência estatística: Teoria da estimação e Testes de hipóteses. Regressão linear simples. Correlação.,
4,Alternativa,MAT02050,PROBABILIDADE E ESTATÍSTICA - EAD,60,MAT,"[""MAT01353""]",Disciplina,Probabilidade: Conceito e teoremas fundamentais. Variáveis aleatórias. Distribuições de probabilidade. Estatística descritiva. Noções de amostragem. Inferência estatística: Teoria da estimação e Testes de hipóteses. Regressão linear simples. Correlação.,
4,Obrigatória,TeoCompECP,Teoria da Computação,60,INT,"[""INF05508"", ""MAT01375""]",Disciplina,"Linguagens Formais, Autômatos e Hierarquia de Chomsky. Computabilidade. Classes de Complexidade Computacional.","Esta disciplina está sendo INCLUÍDA no currículo -- com definição de etapa, caráter e lista de pré-requisitos -- e, ao mesmo tempo, algumas de suas características estão sendo modificadas: denominação e súmula."
4,Obrigatória,INF01113,Organização de Computadores,60,INA,"[""CDNovo""]",Disciplina,"Blocos operativo e de controle; diferentes alternativas de organização (microarquitetura) de um processador: monociclo, multiciclo e pipeline; noções do impacto de cada alternativa sobre fatores como desempenho e custo; dependências; benchmarks e métricas; exploração de paralelismo em hardware (superescalar, VLIW, multicore, GPU); hierarquia e tecnologias de memória (cache, RAM, armazenamento secundário); suporte de memória virtual em hardware; barramentos.",
5,Eletiva,INF01146,AVALIAÇÃO DE DESEMPENHO,60,INA,"[""MAT02219""+""MAT02050""]",Disciplina,"Introdução à avaliação de desempenho de sistemas computacionais. Métodos de avaliação: vantagens, desvantagens, aplicações. Métodos analíticos: abordagens estocástica e operacional. Modelos baseados em redes de filas e em redes de Petri. Simulação discreta: conceitos, algoritmos de simulação. Abordagens de modelagem de sistemas discretos: orientação a eventos e a processos. Estudo de uma linguagem de simulação de propósitos gerais. Mensuração, benchmarking.",
5,Obrigatória,ENG10002,CIRCUITOS ELÉTRICOS II - C,60,ENG,"[""ENG10001"", ""MAT01168""]",Disciplina,Análise fasorial. Potência. Acoplamento magnético e transformadores. Circuitos polifásicos. introdução básica de Fourier e Laplace. Análise de circuitos no domínio da frequência. Aplicação de Transformadas de Fourier e de Laplace em circuitos.,
5,Obrigatória,INF01127,ENGENHARIA DE SOFTWARE N,60,INA,"[""INF01120""]",Disciplina,"Histórico da engenharia de software. Modelagem e produção de software. Ciclo de vida do software. Especificação de requisitos. Projeto de software. Implementação e teste de software. Documentação de software. Evolução de software. Processo de software (modelos, abordagens). Reuso de software.",
5,Eletiva,INF01049,INTRODUÇÃO À PESQUISA EM INFORMÁTICA,30,INA,"[""#cred(80)""]",Disciplina,"Pesquisa: conceito e ferramentas básicas empregadas. Identificação do problema; revisão da literatura relacionada, planejamento, preparação de proposta associada. Metodologias qualitativas de pesquisa. Metodologias quantitativas de pesquisa (métodos, descritivos, experimentais e estatísticos). Apresentação de resultados (relatórios e artigos): organização, estilo, formato, referências, indexação.",
5,Obrigatória,INF01175,SISTEMAS DIGITAIS PARA COMPUTADORES A,60,INA,"[""CDNovo""]",Disciplina,"Computador visto como um sistema digital. Unidades operacional e de controle. Estruturas de controle: ""hardwired"", microprogramada, com PLA, etc. Sistemas síncronos e assíncronos; comunicação entre sistemas. Estudo de casos (controle): ""carry look-ashead"", interrupção em multiprocessamento entrada/saída, etc.",
5,Obrigatória,INF01142,SISTEMAS OPERACIONAIS I N,60,INA,"[""Arq"", ""INF01203""]",Disciplina,"Conceitos básicos de sistemas operacionais: organização de sistemas operacionais, chamadas de sistema, carregamento e execução de programas. Gerência do processador: processos, estados de processo, escalonamento, threads. Entrada e saída (E/S): dispositivos e controladores, software de E/S, interrupções, dependência e independência. Gerência de memória: partições fixas e variáveis, paginação, segmentação, memória virtual. Gerência de armazenamento permanente, sistema de arquivos. Suporte de segurança no sistema operacional.",
5,Obrigatória,ENG04010,TEORIA ELETROMAGNÉTICA E ONDAS,60,ENG,"[""FIS01183"", ""MAT01168""]",Disciplina,"Eletromagnetismo, equações de Maxwell, técnicas matemáticas de resolução. Ondas eletromagnéticas.",
6,Obrigatória,INF01185,CONCEPÇÃO DE CIRCUITOS INTEGRADOS I,60,INA,"[""ENG10001"", ""CDNovo""]",Disciplina,"Transistores e portas lógicas. Classificação de CI. Processos de fabricação. Regras de projeto. Concepção de blocos. Metodologias de concepção, tipos de ferramentas e descrições. Estruturas regulares. Blocos tipo ULA, registradores, PLA, ROM e outros. Estruturas para teste.",
6,Obrigatória,ENG04077,CIRCUITOS ELETRÔNICOS I,90,ENG,"[""ENG10002""]",Disciplina,"Diodos, transistores de junção e efeito de campo: semicondutores e junção p-n, estrutura física e operação, características elétricas, polarização, estabilidade térmica e aplicações. Circuitos conformadores. Amplificadores de um e de diversos estágios. Amplificadores operacionais. Realimentação: princípios básicos, modelos e topologias, efeito nos amplificadores. Análise e projeto de circuitos eletrônicos.",
6,Eletiva,INF01048,INTELIGÊNCIA ARTIFICIAL,60,INA,"[""PAA1"", ""MAT02219""+""MAT02050""]",Disciplina,Raciocínio em Inteligência Artificial. Técnicas de construção de agentes inteligentes. Busca não-informada e informada. Jogos. Agentes Lógicos. Raciocínio Probabilístico. Filosofia e Ética em Inteligência Artificial.,
6,Obrigatória,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,30,ENG,"[""ENG10002""]",Disciplina,"Instrumentos de medida e conceitos fundamentais de medição. Ferramentas Computacionais de análise, e simulação. Aplicação de análise de circuitos resistivos. Aplicação de análise de circuitos de 1ª e 2ª ordem. Resposta em frequência de circuitos. Análise fasorial. Medição de potência em Circuitos Trifásicos. Transformadores.",
6,Obrigatória,Redes,Redes de Computadores e Internet,60,INA,"[""Arq""]",Disciplina,"Fundamentos e conceitos de redes de comunicação, com ênfase na Internet. Camada de Aplicação. Camada de Transporte. Camada de Rede. Camada de Enlace.",
6,Obrigatória,LabInternet,Laboratório de Redes de Computadores,30,INA,"[""Arq""]",Disciplina,"Prática em laboratório sobre fundamentos de sistemas de comunicação e redes de computadores. Análise aprofundada dos diversos protocolos de redes, como Ethernet, IP, TCP, UDP e protocolos de aplicação. Experimentos com redes sem fio, roteamento, segurança e modulação digital.",
6,Eletiva,ENG10017,SISTEMAS E SINAIS,90,ENG,"[""MAT01168""]",Disciplina,Técnicas de modelagem e análise de sistemas lineares e sistemas amostrados. Introdução a sistemas não lineares.,
7,Obrigatória,SDTF,Sistemas Distribuídos e Tolerantes a Falhas,60,INA,"[""INF01142""]",Disciplina,"Princípios e práticas de sistemas distribuídos. Comunicação por memória compartilhada e por troca de mensagens. Sincronização de relógios. Algoritmos distribuídos, consenso distribuído. Computação em nuvem, névoa e borda. Fundamentos de tolerância a falhas: técnicas, medidas e arquiteturas. Segurança de funcionamento. Confiabilidade e disponibilidade. Sistemas críticos e segurança funcional.",
7,Eletiva,INF01191,ARQUITETURAS AVANÇADAS DE COMPUTADORES,60,INA,"[""INF01113""]",Disciplina,"Estudo de arquiteturas complexas com diversos processadores. Processamento paralelo. Interconexões de processadores. Processadores ""pipeline"". Processadores vetoriais. Processadores ""array"". Processadores associativos. Processadores e Fluxo de Dados.",
7,Eletiva,MAT01169,CÁLCULO NUMÉRICO,90,MAT,"[""INF01203"", ""MAT01167""]",Disciplina,"Sistemas de numeração. Zeros de funções. Métodos numéricos de Álgebra Linear. Interpolação. Derivação e integração numérica. Aproximação de funções, ajustamento de dados. Solução numérica de equações diferenciais ordinárias.",
7,Eletiva,ENG04078,CIRCUITOS ELETRÔNICOS II,60,ENG,"[""ENG10002"", ""ENG04077""]",Disciplina,"Amplificador operacional: modelamento, construção interna e características elétricas. Circuitos não-lineares com amplificadores operacionais: conformadores, comparadores, detectores de pico, amostradores, conversores tensão-frequência, filtros ativos, amplificadores logaritmicos, monoestáveis, estáveis. Circuitos integrados especiais e aplicações. Conceitos básicos de comportamento em frequência de amplificadores. Análise e projeto de circuitos eletrônicos.",
7,Eletiva,LP1,Linguagens de Programação I,60,INT,"[""INF01203"", ""TeoCompECP""]",Disciplina,Estrutura geral de compiladores e interpretadores. Análise léxica e sintática (scanner e parser). Avaliador abstrato (semântica operacional). Análise semântica (sistemas de tipos). Propriedades de linguagens de programação.,
7,Obrigatória,INF01194,CONCEPÇÃO DE CIRCUITOS INTEGRADOS II,60,INA,"[""INF01175"", ""INF01185""]",Disciplina,"Organização de circuitos integrados: partes de controle e operativa; características particulares de organização em CIs: comparação entre soluções diversas. Projeto de CIs: ferramentas de validação, implementação, verificação e teste.",
7,Eletiva,INF01001,ESPECIFICAÇÃO FORMAL N,60,INA,"[""TeoCompECP""]",Disciplina,"Revisão matemática; métodos e linguagens; classificação dos métodos formais; especificação executáveis (prototipação); apresentação e aplicação de métodos e linguagens de especificação formal: VDM, Z, CCS, CSP, OBJ, LOTOS, UNIT e outros.",
7,Eletiva,INF01047,Computação Gráfica e Visualização I,60,INA,"[""MAT01354"", ""MAT01355"", ""INF01203""]",Disciplina,"Aplicações de Computação Gráfica e Visualização. Transformações geométricas: lineares, afins, e projetivas. Coordenadas homogêneas. Sistemas de coordenadas. Transformações hierárquicas. Técnicas de geração de imagens. Modelagem e processamento geométrico. Animação. Câmeras virtuais. Fontes de luz virtuais. Modelos de iluminação. Mapeamento de texturas. Uso de Unidades de Processamento Gráfico (GPUs). Conceitos de percepção e cognição relacionados à visualização. Tipos de dados e tarefas de usuário de visualizações. Codificação visual e espacial. Integração de visualização e interação. Múltiplas visões coordenadas. Técnicas de visualização: características, contextos e usos.",
7,Eletiva,ENG10032,MICROCONTROLADORES,30,ENG,"[""ENG04077"", ""Arq""]",Disciplina,"Disciplina essencialmente prática para exercícios de laboratório e projeto semestral utilizando microcontroladores mais difundidos, como o estandar 8051. Apresentação das diferenças entre microcontroladores e microprocessadores. discussão sobre a arquitetura de microcontroladores para aplicações específicas, como DSP e sistemas de tempo real, entre outros.",
7,Eletiva,ENG10004,SISTEMAS DE CONTROLE I - B,60,ENG,"[""ENG10017""]",Disciplina,Modelagem e identificação de sistemas dinâmicos. Conceitos básicos e problemas fundamentais em sistemas de controle. Controladores PID: Teoria e ajuste. Projeto de controladores para sistemas monovariáveis via método do lugar das raízes. Aspectos não-lineares em sistemas de controle.,
8,Eletiva,LP2,Linguagens de Programação II,60,INA,"[""Arq"", ""LP1""]",Disciplina,Análise estática. Geração de código intermediário. Otimização de código. Geração de código. Sistemas de execução. Tópicos avançados.,
8,Eletiva,INF01008,Programação Paralela,60,INA,"[""INF01142""]",Disciplina,Conceitos avançados de concorrência. Princípios de programação paralela e distribuída. Programação paralela em arquiteturas multicore. Programação paralela para arquiteturas heterogêneas e vetoriais. Programação paralela em ambientes de memória distribuída.,
8,Eletiva,INF01017,Aprendizado de Máquina,60,INA,"[""MAT01355"", ""MAT01354"", ""INF01203"", ""MAT02219""+""MAT02050""]",Disciplina,"Fundamentos, paradigmas, algoritmos e metodologias de Aprendizado de Máquina. Métodos de aprendizado supervisionado e não-supervisionado. Métodos e métricas para avaliação de modelos. Técnicas de preparação de dados.",
8,Eletiva,ENG04061,CIRCUITOS ELETRÔNICOS INTEGRADOS,60,ENG,"[""ENG04010"", ""ENG04078""]",Disciplina,"A indústria da microeletrônica: mercado, necessidades, etapas de desenvolvimento, valor agregado, IP e fabricação. Tecnologias e processos de fabricação. Implementação de dispositivos passivos e ativos integrados. Adequação de um projeto ao processos de fabricação. Encapsulamento: necessidade, tipos, interconexão, impedâncias associadas, efeitos térmicos e mecânicos. Robustez e produtividade de um projeto.",
8,Eletiva,ENG04055,CIRCUITOS INTEGRADOS ANALÓGICOS,60,ENG,"[""INF01185""]",Disciplina,"Comportamento elétrico do transistor MOS. Modelos Spice. Desenvolvimento e análise de desempenho de blocos analógicos básicos, fonte de corrente, amplificadores. Técnicas de layout para circuitos analógicos. Noções de projetos analógicos para aplicações RF. Estudos de caso.",
8,Adicional,ECO02254,ECONOMIA A,60,ECO,"[""#cred(100)""]",Disciplina,Economia como ciência social. Noções elementares. Elementos básicos do processo produtivo. Sistema monetário-financeiro. Noções de análise microeconômica. Relações econômicas com o exterior. Morfologia da atividade econômica. Mensuração da atividade econômica. Repartição da renda social. Combinação econômica dos fatores da produção. Noções de análise macroeconômica. Desenvolvimento econômico. Economia brasileira.,
8,Eletiva,INF01046,Processamento de Imagens e Visão Computacional I,60,INA,"[""MAT01355"", ""MAT01354"", ""INF01203""]",Disciplina,"Percepção visual e modalidade de imagens. Transformações de imagens: Equalização de Histograma e outras transformações não lineares, Transformada de Fourier. Filtragem de imagens: domínios espacial e frequência. Teorema da Amostragem e Teorema da Convolução. Restauração de imagens. Segmentação de imagens. Compressão de imagens e vídeos. Modelos de câmeras. Calibração. Estereoscopia e multi-view estéreo, Classificação de imagens. Detecção de objetos. Introdução a aprendizado profundo para Computação Visual. Questões éticas e sociais envolvendo imagens.",
8,Eletiva,ENG10005,LABORATÓRIO DE CONTROLE,30,ENG,"[""ENG10004""]",Disciplina,"Métodos experimentais para ajuste de controladores PID (Ziegler-Nichols e similares). Verificação experimental de desempenho de malhas de controle. Projeto de controladores por métodos de controle clássico. Projeto prático de controladores para: processo térmico, processo mecânico, controle de velocidade de motor elétrico, controle de posição de motor elétrico.",
8,Eletiva,INF01002,Serviços Avançados em Redes de Computadores,60,INA,"[""Redes""]",Disciplina,Protocolos avançados de redes de computadores. Novos paradigmas de comunicação. Redes definidas por software e programabilidade de redes. Serviços avançados na Internet.,
8,Eletiva,ENG10026,ROBÓTICA A,60,ENG,"[""ENG10017"", ""ENG10032""]",Disciplina,"Estrutura de robô: características, acionamento, controle, manipuladores e sensores. Capacidade do robô. Aplicações do robô. Noções de cinemática e dinâmica. Programação do robô. Sistemas de programação. Sistema controlador - periféricos-robô.",
8,Eletiva,INF01050,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO I,60,INA,"[""#cred(100)""]",Disciplina,"Invocações tecnológicas decorrentes de pesquisa recentes. Aplicações específicas, interessando a um grupo restrito ou tendo caráter de temporariedade. Aspectos específicos, de áreas do conhecimento já abordadas anteriormente, mas cobertos superficialmente, interessando a um grupo restrito de alunos e sendo objeto de pesquisa recente.",
